 Mortalidade - Brasil
Óbitos p/Residênc por Macrorregião de Saúde e Ano do Óbito
Categoria CID-10: C47   Neopl malig nervos perif e sist nerv autonom, C48   Neopl malig tec moles retro- e peritonio, C49   Neopl malig tec conjuntivo e outr tec moles, C50   Neopl malig da mama, C51   Neopl malig da vulva, C52   Neopl malig da vagina, C53   Neopl malig do colo do utero, C54   Neopl malig do corpo do utero, C55   Neopl malig do utero porcao NE, C56   Neopl malig do ovario, C57   Neopl malig outr org genitais femin e NE, C58   Neopl malig da placenta, C60   Neopl malig do penis, C61   Neopl malig da prostata, C62   Neopl malig dos testiculos, C63   Neopl malig outr org genit masc e NE, C64   Neopl malig do rim exceto pelve renal, C65   Neopl malig da pelve renal, C66   Neopl malig dos ureteres, C67   Neopl malig da bexiga, C68   Neopl malig de outr orgaos urinarios e NE, C69   Neopl malig do olho e anexos, C70   Neopl malig das meninges, C71   Neopl malig do encefalo, C72   Neop mal med esp nerv cran out sist nerv cen, C73   Neopl malig da gland tireoide, C74   Neopl malig da gland supra-renal, C75   Neopl malig outr gland endocrinas estr relac, C76   Neopl malig outr localiz e mal definidas, C77   Neopl malig secund e NE gangl linfaticos, C78   Neopl malig secund org respirat e digestivos, C79   Neopl malig secund de outr localiz, C80   Neopl malig s/especificacao de localiz
Faixa Etária: 1 a 4 anos
Período:1996-2020
"Macrorregião de Saúde";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"2209 LITORAL";-;-;-;-;2;1;-;2;-;1;2;1;2;2;3;1;2;1;1;5;2;1;1;3;-;33
"2210 CERRADOS";-;1;-;1;1;-;2;2;2;2;1;3;1;1;2;1;1;1;2;-;5;2;1;2;1;35
"2306 5ª MACRO - LITORAL LESTE/JAGUARIBE";1;-;3;-;2;-;1;-;-;1;1;1;2;-;1;4;-;3;1;-;1;-;1;1;-;24
"2307 4ª MACRO - SERTAO CENTRAL";2;2;1;-;1;-;-;-;2;-;3;3;1;1;-;-;1;-;1;-;3;3;-;1;1;26
"2308 3ª MACRO - CARIRI";-;2;1;2;2;1;1;4;3;2;4;4;1;4;2;4;-;3;-;2;2;2;2;-;2;50
"2309 2ª MACRO - SOBRAL";1;2;4;3;3;4;3;2;4;2;3;2;4;3;4;-;5;1;3;6;2;4;3;4;-;72
"2310 1ª MACRO - FORTALEZA";9;9;15;15;15;1;11;7;3;8;10;6;9;7;7;7;10;9;9;7;7;9;9;10;7;216
"2401 MACRORREGIAO II";1;-;1;-;-;-;-;-;-;5;3;2;-;1;1;1;1;2;-;3;1;1;1;1;-;25
"2402 MACRORREGIAO I";2;4;5;2;3;5;2;4;1;6;3;3;4;4;5;2;2;4;2;3;1;5;3;3;1;79
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO";2;-;-;-;1;1;1;1;1;3;1;-;4;1;1;2;1;2;2;2;1;2;4;-;2;35
"2502 MACRORREGIAO II - CAMPINA GRANDE";2;-;-;-;-;1;1;1;1;1;4;3;2;2;4;1;2;3;2;-;3;2;4;4;3;46
"2503 MACRORREGIAO I - JOAO PESSOA";3;2;3;2;4;2;2;5;4;3;2;4;4;1;2;6;-;3;1;2;1;-;1;1;1;59
"2605 VALE DO S.FRANCISCO E ARARIPE";1;1;3;2;2;-;2;1;1;1;1;-;3;2;1;-;6;2;2;2;-;3;3;1;1;41
"2606 SERTAO";-;-;1;1;1;-;-;4;2;-;2;-;1;-;-;1;-;1;2;-;1;1;3;1;2;24
"2607 METROPOLITANA";13;8;11;16;12;11;11;11;11;14;5;5;12;13;9;11;12;6;8;6;9;8;10;4;14;250
"2608 AGRESTE";1;3;2;1;6;1;3;4;4;3;6;6;3;4;1;1;2;6;3;3;3;5;2;-;3;76
"2703 2ª MACRORREGIAO DE SAUDE";-;1;-;-;-;-;3;-;2;3;1;3;2;2;-;3;2;1;1;1;2;2;2;3;2;36
"2704 1ª MACRORREGIAO DE SAUDE";1;3;3;4;1;-;2;7;6;3;2;7;3;6;3;7;5;5;4;4;1;1;3;4;1;86
"2801 MACRO UNICA";2;1;1;4;8;4;5;5;5;9;6;3;3;8;4;5;2;3;6;9;3;1;4;4;6;111
"2910 SUL (NBS - ILHEUS)";2;2;5;1;3;7;4;2;6;4;2;3;3;2;8;3;-;3;4;1;2;4;2;6;4;83
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)";3;-;1;2;2;1;-;3;1;2;2;-;2;1;3;1;1;1;2;4;1;1;2;-;-;36
"2912 OESTE (NBS - BARREIRAS)";-;-;-;-;1;-;-;4;-;1;2;-;2;-;3;1;-;3;-;-;-;-;1;-;-;18
"2913 NORTE - (NRS - JUAZEIRO)";1;1;-;1;-;-;1;1;2;-;1;1;-;1;2;2;-;2;1;2;4;7;3;3;-;36
"2914 NORDESTE (NRS - ALAGOINHAS)";1;-;2;-;-;1;1;4;2;-;-;-;2;2;1;3;4;4;3;1;-;1;-;1;-;33
"2915 LESTE - (NRS - SALVADOR)";4;9;7;8;5;13;13;9;7;6;4;6;6;3;7;9;6;6;6;3;11;9;2;6;1;166
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)";1;-;1;-;1;-;1;1;2;-;3;-;1;2;1;2;1;3;2;-;2;1;-;1;4;30
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)";2;2;-;1;1;2;4;7;3;3;3;1;4;5;3;6;2;4;4;2;2;3;4;4;1;73
"2918 CENTRO - NORTE (NRS - JACOBINA)";-;-;-;1;1;2;1;1;2;1;1;1;1;-;-;2;2;2;2;-;1;1;-;1;1;24
"3101 SUL";1;4;8;6;5;8;6;10;2;2;1;1;4;3;6;5;-;-;5;1;2;5;3;1;2;91
"3102 CENTRO SUL";2;1;2;1;-;1;-;4;1;1;1;-;2;2;2;1;-;-;-;-;3;3;-;2;1;30
"3103 CENTRO";6;11;18;19;8;13;16;10;6;10;7;13;6;11;10;9;7;11;7;10;6;6;5;8;6;239
"3104 JEQUITINHONHA";-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;2;1;-;-;-;1;-;2;10
"3105 OESTE";2;2;2;1;1;1;1;1;4;1;2;2;1;1;2;-;-;-;1;3;-;-;3;-;2;33
"3106 LESTE";-;2;2;1;2;-;-;1;1;-;2;2;1;1;1;1;2;2;-;4;1;1;2;3;-;32
"3107 SUDESTE";4;2;1;2;3;2;1;3;-;2;1;2;1;3;2;2;1;2;3;-;1;-;3;2;3;46
"3108 NORTE";4;3;8;2;-;3;1;4;3;2;3;2;4;2;2;1;2;2;1;3;1;2;3;4;2;64
"3109 NOROESTE";1;2;-;1;1;1;-;1;-;2;1;2;2;3;3;2;1;1;-;-;-;1;1;2;-;28
"3110 LESTE DO SUL";1;1;-;2;1;1;1;-;1;-;1;-;1;-;-;1;1;-;4;1;1;3;1;-;-;22
"3111 NORDESTE";1;-;-;-;2;-;-;-;-;3;1;-;-;3;2;1;-;-;1;2;5;-;2;-;1;24
"3112 TRIANGULO DO SUL";1;2;2;1;3;1;1;-;2;-;2;1;-;2;-;1;1;2;2;-;1;-;-;1;-;26
"3113 TRIANGULO DO NORTE";2;5;3;7;7;3;3;3;4;3;1;1;1;2;-;2;-;1;2;2;3;1;2;-;1;59
"3114 VALE DO ACO";3;-;1;3;3;2;3;1;-;1;-;1;2;3;-;-;1;1;2;-;1;-;1;-;1;30
"3205 SUL";1;-;-;2;2;1;1;2;1;1;2;1;4;2;-;2;3;1;1;2;1;3;-;-;-;33
"3206 NORTE";-;-;1;1;-;2;2;2;-;2;1;-;1;1;2;1;2;-;-;-;2;1;1;2;1;25
"3207 METROPOLITANA";3;3;4;4;3;4;3;5;1;6;5;5;5;4;3;5;8;5;7;4;5;4;5;5;5;111
"3208 CENTRAL";-;-;-;-;1;3;1;1;-;2;1;2;-;1;3;1;1;3;2;-;2;1;2;-;1;28
"3312 MACRORREGIAO I";28;23;32;22;21;26;28;23;29;24;21;24;22;19;29;22;30;33;22;17;25;27;26;17;22;612
"3518 RRAS9";1;2;3;4;3;1;4;1;3;2;1;1;6;4;1;5;2;2;3;1;1;-;4;1;2;58
"3519 RRAS8";-;4;6;5;3;2;6;4;2;5;1;6;3;3;3;4;5;5;3;3;3;3;6;1;4;90
"3520 RRAS7";9;5;2;3;2;6;2;3;2;4;4;5;6;2;4;1;3;6;4;-;3;2;2;1;-;81
"3521 RRAS6";20;17;21;28;26;18;27;20;23;14;15;19;20;21;10;14;18;19;18;16;15;25;13;14;10;461
"3522 RRAS5";2;2;4;4;2;4;3;7;7;2;2;1;1;-;-;2;2;1;3;-;-;1;1;5;-;56
"3523 RRAS4";2;1;2;2;3;2;2;1;4;3;-;1;4;2;1;-;2;-;-;-;2;2;2;-;-;38
"3524 RRAS3";-;-;2;1;1;2;2;-;1;1;-;2;-;2;-;-;1;-;1;1;2;-;-;-;1;20
"3525 RRAS2";8;5;9;9;6;7;9;4;5;8;4;4;6;5;5;4;6;3;2;1;4;2;2;-;2;120
"3526 RRAS17";4;3;4;2;5;3;3;6;2;4;4;2;2;2;2;1;3;4;6;1;3;6;4;4;1;81
"3527 RRAS16";1;5;1;1;2;3;-;3;-;3;2;2;-;2;3;1;-;-;3;-;1;-;1;1;-;35
"3528 RRAS15";5;5;8;5;5;3;2;9;4;1;1;4;3;4;5;2;3;3;4;6;5;4;3;3;-;97
"3529 RRAS14";1;3;6;1;3;1;2;2;2;2;2;1;2;-;-;2;2;-;1;7;-;3;-;1;-;44
"3530 RRAS13";6;4;4;5;7;7;7;-;10;5;4;4;6;6;2;7;10;9;6;5;4;2;4;5;3;132
"3531 RRAS12";2;1;1;5;1;4;2;4;4;4;-;1;4;2;1;4;1;1;7;3;2;2;4;6;1;67
"3532 RRAS11";-;-;4;1;3;3;-;2;-;-;-;2;-;2;1;1;1;1;-;1;-;1;2;1;1;27
"3533 RRAS10";3;2;2;3;1;2;2;-;-;3;2;2;1;1;1;2;3;3;1;1;-;-;2;1;1;39
"3534 RRAS1";6;7;3;2;3;7;9;6;8;4;6;3;3;3;5;3;3;8;3;1;5;4;2;2;3;109
"4105 MACRORREGIONAL NORTE";4;9;4;1;7;4;3;5;3;5;6;4;4;4;2;1;1;5;3;3;5;4;2;2;6;97
"4106 MACRORREGIONAL NOROESTE";4;2;4;-;3;2;4;-;4;3;4;1;5;1;1;3;3;4;3;3;1;5;3;3;3;69
"4107 MACRORREGIONAL LESTE";7;10;14;8;10;13;7;9;9;6;13;6;6;9;7;12;11;15;5;8;9;10;10;5;13;232
"4108 MACRORREGIAO OESTE";4;-;3;1;5;5;2;4;2;3;6;2;2;4;4;7;3;1;4;3;4;1;5;1;3;79
"4210 SUL";-;2;1;2;1;2;2;-;1;4;1;1;1;-;3;4;2;1;1;1;3;1;-;-;1;35
"4211 PLANALTO NORTE E NORDESTE";2;2;1;-;2;3;2;3;3;2;2;2;1;2;-;2;3;5;3;-;2;3;3;3;2;53
"4212 MEIO OESTE E SERRA CATARINENSE";2;-;1;-;1;5;4;3;1;2;1;-;-;1;2;-;1;3;1;2;2;-;-;1;3;36
"4213 GRANDE OESTE";3;1;3;2;3;3;-;1;2;-;1;2;-;-;2;1;1;1;3;2;2;1;3;-;-;37
"4214 GRANDE FLORIANOPOLIS";3;1;3;1;1;1;1;2;6;-;-;-;1;-;1;3;1;1;-;2;-;3;2;2;-;35
"4215 FOZ DO RIO ITAJAI";-;3;-;2;3;5;1;-;2;-;-;1;1;-;-;1;-;1;1;-;1;1;2;-;-;25
"4216 ALTO VALE DO ITAJAI";2;3;1;-;-;-;1;3;1;-;2;1;-;3;-;2;1;2;5;1;2;1;2;1;1;35
"4308 VALES";1;3;-;2;3;-;5;-;1;2;2;1;1;3;4;1;1;2;-;1;-;-;1;1;-;35
"4309 SUL";4;2;1;3;-;1;5;1;2;4;-;2;2;3;-;-;2;-;2;1;2;1;-;-;-;38
"4310 SERRA";4;3;1;-;2;-;-;-;1;3;-;-;1;-;3;1;1;1;1;3;1;1;1;-;-;28
"4310 SERRA";3;4;5;1;1;3;3;2;3;2;1;1;1;2;1;3;2;3;1;2;1;4;1;2;-;52
"4312 MISSIONEIRA";2;2;1;3;3;1;2;1;1;2;1;4;-;2;1;2;1;4;-;1;2;2;1;1;-;40
"4313 METROPOLITANA";5;18;10;9;15;7;6;4;8;5;6;7;9;6;10;3;4;8;4;5;3;6;9;8;4;179
"4314 CENTRO-OESTE";2;1;1;1;2;2;2;3;4;3;-;3;1;1;1;3;-;2;1;-;1;2;-;1;1;38
"5005 TRES LAGOAS";-;-;-;-;-;-;-;-;1;1;3;1;1;-;2;-;-;-;-;1;1;-;-;1;1;13
"5006 DOURADOS";2;-;-;-;2;1;1;3;1;1;2;4;4;-;2;1;1;2;-;1;2;2;1;-;1;34
"5007 CORUMBA";-;-;1;1;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"5008 CAMPO GRANDE";4;1;3;3;1;2;4;-;2;1;2;2;3;4;3;4;4;5;5;4;4;3;4;3;1;72
"5101 MACRORREGIAO SUL";-;-;-;1;3;1;-;2;2;-;2;-;-;-;2;1;2;1;-;1;-;-;3;2;1;24
"5102 MACRORREGIAO OESTE";1;-;-;1;2;1;-;1;-;1;2;-;2;-;-;-;1;-;-;-;-;-;1;-;-;13
"5103 MACRORREGIAO NORTE";2;1;-;1;-;-;1;1;2;-;1;1;1;-;2;-;-;3;2;1;2;5;2;1;-;29
"5104 MACRORREGIAO LESTE";-;1;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;1;-;-;1;1;-;-;1;9
"5105 MACRORREGIAO CENTRO-NORTE";2;1;2;4;5;2;4;4;5;5;-;8;2;2;2;3;1;3;1;-;3;2;2;2;1;66
"5206 MACRORREGIAO SUDOESTE";-;1;1;-;-;1;1;2;1;-;1;-;-;2;-;-;2;1;-;2;2;1;-;-;1;19
"5207 MACRORREGIAO NORDESTE";1;5;1;2;3;2;1;3;5;5;1;2;3;3;3;3;1;-;1;2;-;2;2;-;-;51
"5208 MACRORREGIAO CENTRO-OESTE";3;6;6;5;1;3;2;1;4;1;3;4;11;5;3;5;4;-;2;3;1;4;9;6;1;93
"5209 MACRORREGIAO CENTRO-NORTE";-;6;3;2;1;3;3;2;1;1;2;2;1;4;-;1;2;-;1;1;1;2;2;2;2;45
"5210 MACRORREGIAO CENTRO SUDESTE";2;-;2;2;4;-;2;2;3;4;1;1;4;-;1;2;2;3;2;4;2;4;1;3;3;54
"5302 MACRORREGIÃO DE BRASÍLIA";4;5;2;3;7;6;10;2;4;3;5;5;1;1;3;5;3;3;11;6;5;3;2;2;1;102
"5303 MACRORREGIÃO DE SAÚDE I";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5304 MACRORREGIÃO DE SAÚDE II";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5305 MACRORREGIÃO DE SAÚDE III";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";277;297;338;324;343;329;335;342;355;330;308;311;315;314;289;304;306;346;312;272;296;325;308;258;227;7761
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
