 Mortalidade - Brasil
Óbitos p/Residênc por Macrorregião de Saúde e Ano do Óbito
Categoria CID-10: C47   Neopl malig nervos perif e sist nerv autonom, C48   Neopl malig tec moles retro- e peritonio, C49   Neopl malig tec conjuntivo e outr tec moles, C50   Neopl malig da mama, C51   Neopl malig da vulva, C52   Neopl malig da vagina, C53   Neopl malig do colo do utero, C54   Neopl malig do corpo do utero, C55   Neopl malig do utero porcao NE, C56   Neopl malig do ovario, C57   Neopl malig outr org genitais femin e NE, C58   Neopl malig da placenta, C60   Neopl malig do penis, C61   Neopl malig da prostata, C62   Neopl malig dos testiculos, C63   Neopl malig outr org genit masc e NE, C64   Neopl malig do rim exceto pelve renal, C65   Neopl malig da pelve renal, C66   Neopl malig dos ureteres, C67   Neopl malig da bexiga, C68   Neopl malig de outr orgaos urinarios e NE, C69   Neopl malig do olho e anexos, C70   Neopl malig das meninges, C71   Neopl malig do encefalo, C72   Neop mal med esp nerv cran out sist nerv cen, C73   Neopl malig da gland tireoide, C74   Neopl malig da gland supra-renal, C75   Neopl malig outr gland endocrinas estr relac, C76   Neopl malig outr localiz e mal definidas, C77   Neopl malig secund e NE gangl linfaticos, C78   Neopl malig secund org respirat e digestivos, C79   Neopl malig secund de outr localiz, C80   Neopl malig s/especificacao de localiz
Faixa Etária: Menor 1 ano
Período:1996-2020
"Macrorregião de Saúde";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"2209 LITORAL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;4
"2210 CERRADOS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;4
"2306 5ª MACRO - LITORAL LESTE/JAGUARIBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"2307 4ª MACRO - SERTAO CENTRAL";-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;6
"2308 3ª MACRO - CARIRI";-;-;-;-;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"2309 2ª MACRO - SOBRAL";-;-;1;1;1;1;1;-;-;-;-;3;1;-;1;-;-;1;1;-;-;-;1;1;-;14
"2310 1ª MACRO - FORTALEZA";-;3;8;1;3;3;-;2;1;1;4;3;1;1;-;3;1;4;1;1;1;-;-;2;1;45
"2401 MACRORREGIAO II";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;1;-;1;7
"2402 MACRORREGIAO I";1;-;1;-;1;1;-;1;-;1;2;2;3;1;2;-;1;1;1;-;1;-;1;1;1;23
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO";-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"2502 MACRORREGIAO II - CAMPINA GRANDE";-;1;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;7
"2503 MACRORREGIAO I - JOAO PESSOA";-;1;-;-;-;-;-;1;1;-;-;1;1;2;-;1;-;1;1;2;1;1;1;1;2;18
"2605 VALE DO S.FRANCISCO E ARARIPE";1;1;-;-;-;1;1;-;-;-;-;-;-;-;2;-;1;-;1;-;1;1;1;1;-;12
"2606 SERTAO";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;1;-;-;-;-;2;-;-;-;7
"2607 METROPOLITANA";3;-;-;1;1;1;-;2;4;3;2;2;4;2;3;1;1;2;1;3;4;-;-;1;-;41
"2608 AGRESTE";2;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;1;11
"2703 2ª MACRORREGIAO DE SAUDE";-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;-;2;8
"2704 1ª MACRORREGIAO DE SAUDE";-;1;1;-;1;-;1;1;-;1;2;-;-;1;2;-;-;1;-;3;-;2;2;1;2;22
"2801 MACRO UNICA";2;-;-;-;5;-;1;1;-;2;1;2;1;2;-;2;-;2;1;-;1;-;-;-;1;24
"2910 SUL (NBS - ILHEUS)";1;-;-;-;1;-;1;1;1;-;-;1;-;-;3;-;1;1;-;2;-;-;-;2;-;15
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)";-;1;-;1;1;-;1;-;-;-;-;-;-;-;3;-;1;2;1;2;-;1;-;-;-;14
"2912 OESTE (NBS - BARREIRAS)";1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;4
"2913 NORTE - (NRS - JUAZEIRO)";-;-;-;1;1;-;-;1;1;-;-;-;2;-;-;2;-;-;-;-;-;1;-;1;1;11
"2914 NORDESTE (NRS - ALAGOINHAS)";-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;6
"2915 LESTE - (NRS - SALVADOR)";1;1;2;5;1;3;2;2;1;2;2;3;1;2;2;1;5;-;3;2;2;-;6;1;1;51
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)";-;-;-;-;-;-;-;1;1;-;-;2;-;-;1;-;-;-;-;-;-;1;-;1;-;7
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)";1;1;-;-;-;-;-;2;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;9
"2918 CENTRO - NORTE (NRS - JACOBINA)";-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;-;1;1;-;1;-;-;-;-;7
"3101 SUL";2;-;-;2;3;1;1;-;-;-;-;-;1;-;-;1;1;2;-;-;-;1;1;-;-;16
"3102 CENTRO SUL";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;4
"3103 CENTRO";1;2;-;2;4;2;4;1;2;2;2;-;1;2;1;-;4;1;2;2;-;2;1;1;1;40
"3104 JEQUITINHONHA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3
"3105 OESTE";-;1;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;1;6
"3106 LESTE";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;4
"3107 SUDESTE";-;-;1;-;1;-;1;2;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;9
"3108 NORTE";1;-;-;-;1;-;-;1;-;1;1;-;1;-;-;-;-;1;1;-;-;1;-;1;1;11
"3109 NOROESTE";-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"3110 LESTE DO SUL";-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;5
"3111 NORDESTE";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;-;-;-;-;4
"3112 TRIANGULO DO SUL";-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"3113 TRIANGULO DO NORTE";-;1;1;1;1;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;8
"3114 VALE DO ACO";-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"3205 SUL";-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;5
"3206 NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"3207 METROPOLITANA";-;1;1;1;2;-;1;2;2;-;2;-;1;1;-;-;1;-;1;1;-;1;1;1;-;20
"3208 CENTRAL";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"3312 MACRORREGIAO I";8;7;8;3;3;7;8;4;4;3;6;8;2;4;4;4;3;4;2;3;5;3;3;2;5;113
"3518 RRAS9";-;-;-;1;-;1;-;-;-;1;-;1;-;-;-;2;-;1;-;1;-;-;-;1;2;11
"3519 RRAS8";1;1;-;2;-;-;1;2;1;-;-;1;-;1;2;1;1;2;-;-;-;-;1;-;2;19
"3520 RRAS7";1;1;-;2;-;-;1;1;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;12
"3521 RRAS6";8;5;8;7;5;5;7;5;2;3;5;1;3;2;2;2;3;4;3;4;2;2;2;5;3;98
"3522 RRAS5";1;1;2;2;2;-;1;-;1;1;2;-;2;1;-;-;1;1;1;2;-;1;1;1;-;24
"3523 RRAS4";-;-;-;-;-;1;1;-;-;1;2;1;-;-;-;-;-;-;1;1;-;-;-;1;-;9
"3524 RRAS3";-;-;-;1;-;1;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"3525 RRAS2";2;1;-;-;-;2;3;-;2;1;2;3;1;-;2;2;-;-;1;2;1;1;-;1;-;27
"3526 RRAS17";2;2;-;2;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;1;-;-;-;-;11
"3527 RRAS16";-;-;1;1;1;-;1;1;-;-;1;-;2;1;-;-;-;-;-;-;-;1;-;-;-;10
"3528 RRAS15";-;2;1;1;-;-;1;-;3;1;2;1;1;1;1;1;-;1;2;-;-;1;1;-;-;21
"3529 RRAS14";-;-;-;-;1;1;1;-;-;-;-;1;-;-;1;-;3;-;-;1;-;-;-;-;-;9
"3530 RRAS13";-;2;1;3;-;3;-;2;2;-;-;2;1;1;2;-;3;1;2;1;-;3;1;2;-;32
"3531 RRAS12";3;2;1;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;12
"3532 RRAS11";1;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;6
"3533 RRAS10";-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;7
"3534 RRAS1";-;1;1;2;1;1;-;-;1;-;-;-;1;1;1;3;3;-;1;2;1;-;-;-;-;20
"4105 MACRORREGIONAL NORTE";3;1;1;1;-;-;3;1;-;-;2;-;-;2;3;-;1;1;-;-;-;-;-;-;-;19
"4106 MACRORREGIONAL NOROESTE";-;-;1;-;1;-;1;2;-;-;-;-;-;-;-;-;3;1;2;-;-;1;-;1;1;14
"4107 MACRORREGIONAL LESTE";2;2;2;2;2;3;-;1;2;-;1;-;1;2;2;2;1;1;2;1;2;1;-;-;-;32
"4108 MACRORREGIAO OESTE";1;-;-;-;1;3;1;-;1;1;2;-;-;-;1;1;1;-;-;2;1;-;-;1;1;18
"4210 SUL";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;1;1;-;-;-;-;-;1;7
"4211 PLANALTO NORTE E NORDESTE";1;1;2;-;-;-;-;-;-;-;-;1;1;-;1;1;-;2;-;-;-;1;-;1;1;13
"4212 MEIO OESTE E SERRA CATARINENSE";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"4213 GRANDE OESTE";-;-;2;-;-;1;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;1;1;-;-;9
"4214 GRANDE FLORIANOPOLIS";2;-;-;-;2;1;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;10
"4215 FOZ DO RIO ITAJAI";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;5
"4216 ALTO VALE DO ITAJAI";-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;6
"4308 VALES";-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"4309 SUL";-;-;-;-;-;-;1;1;-;1;1;1;-;-;2;2;-;-;-;-;1;1;-;-;-;11
"4310 SERRA";1;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"4310 SERRA";-;1;1;-;-;-;1;-;1;1;4;-;-;-;2;-;1;-;-;-;-;-;-;-;-;12
"4312 MISSIONEIRA";-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;1;1;-;-;-;6
"4313 METROPOLITANA";1;1;2;-;2;1;2;-;1;-;-;1;-;1;1;-;1;1;2;2;-;1;1;2;1;24
"4314 CENTRO-OESTE";-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;1;5
"5005 TRES LAGOAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;3
"5006 DOURADOS";-;-;2;1;-;-;-;-;1;2;-;1;-;1;2;-;-;1;-;-;1;-;-;-;-;12
"5007 CORUMBA";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"5008 CAMPO GRANDE";-;2;-;1;2;1;-;-;-;3;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;13
"5101 MACRORREGIAO SUL";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;4
"5102 MACRORREGIAO OESTE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"5103 MACRORREGIAO NORTE";1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"5104 MACRORREGIAO LESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"5105 MACRORREGIAO CENTRO-NORTE";-;1;-;-;2;-;-;1;-;-;2;-;-;-;-;-;-;-;1;2;-;-;-;-;-;9
"5206 MACRORREGIAO SUDOESTE";-;-;-;-;-;-;-;1;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;5
"5207 MACRORREGIAO NORDESTE";-;-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;2;1;1;2;1;-;-;-;12
"5208 MACRORREGIAO CENTRO-OESTE";-;1;-;-;2;1;3;4;2;1;2;1;-;1;-;-;1;-;1;1;-;1;-;1;1;24
"5209 MACRORREGIAO CENTRO-NORTE";1;-;1;-;-;-;1;-;-;1;1;1;-;1;-;1;-;-;-;2;-;-;-;1;-;11
"5210 MACRORREGIAO CENTRO SUDESTE";2;1;-;1;1;1;1;3;1;1;1;2;2;-;-;1;1;-;-;1;-;-;-;-;-;20
"5302 MACRORREGIÃO DE BRASÍLIA";1;2;1;-;-;1;2;1;1;-;2;-;3;1;1;1;1;1;1;-;2;1;1;1;1;26
"5303 MACRORREGIÃO DE SAÚDE I";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5304 MACRORREGIÃO DE SAÚDE II";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5305 MACRORREGIÃO DE SAÚDE III";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";66;64;60;57;68;70;78;66;61;61;77;65;58;58;60;58;71;59;62;66;44;54;40;63;53;1539
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
