 Mortalidade - Brasil
Óbitos p/Residênc por Macrorregião de Saúde e Ano do Óbito
Categoria CID-10: C47   Neopl malig nervos perif e sist nerv autonom, C48   Neopl malig tec moles retro- e peritonio, C49   Neopl malig tec conjuntivo e outr tec moles, C50   Neopl malig da mama, C51   Neopl malig da vulva, C52   Neopl malig da vagina, C53   Neopl malig do colo do utero, C54   Neopl malig do corpo do utero, C55   Neopl malig do utero porcao NE, C56   Neopl malig do ovario, C57   Neopl malig outr org genitais femin e NE, C58   Neopl malig da placenta, C60   Neopl malig do penis, C61   Neopl malig da prostata, C62   Neopl malig dos testiculos, C63   Neopl malig outr org genit masc e NE, C64   Neopl malig do rim exceto pelve renal, C65   Neopl malig da pelve renal, C66   Neopl malig dos ureteres, C67   Neopl malig da bexiga, C68   Neopl malig de outr orgaos urinarios e NE, C69   Neopl malig do olho e anexos, C70   Neopl malig das meninges, C71   Neopl malig do encefalo, C72   Neop mal med esp nerv cran out sist nerv cen, C73   Neopl malig da gland tireoide, C74   Neopl malig da gland supra-renal, C75   Neopl malig outr gland endocrinas estr relac, C76   Neopl malig outr localiz e mal definidas, C77   Neopl malig secund e NE gangl linfaticos, C78   Neopl malig secund org respirat e digestivos, C79   Neopl malig secund de outr localiz, C80   Neopl malig s/especificacao de localiz
Faixa Etária: 10 a 14 anos
Período:1996-2020
"Macrorregião de Saúde";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"1601 MACRO UNICA - AP";1;1;-;1;-;-;-;-;2;-;1;-;2;2;-;-;-;-;-;1;-;-;1;1;1;14
"1701 MACRORREGIAO NORTE";-;-;-;1;-;1;1;-;2;-;2;-;1;2;1;1;1;-;1;-;-;-;-;1;-;15
"1702 MACRORREGIAO CENTRO-SUL";-;-;-;-;1;-;1;1;1;2;1;1;2;-;3;2;2;-;1;-;-;1;1;-;-;20
"2109 MACRORREGIAO SUL";-;-;1;-;-;-;-;-;2;2;-;1;2;3;-;3;1;3;3;1;2;1;4;-;1;30
"2110 MACRORREGIAO NORTE";1;3;1;4;8;5;2;3;6;4;4;7;7;4;8;6;5;6;5;4;8;11;3;6;2;123
"2111 MACRORREGIAO LESTE";-;1;-;-;-;2;-;3;-;-;3;3;5;3;1;-;-;-;2;5;1;2;-;1;2;34
"2207 SEMI-ARIDO";-;-;-;-;-;3;1;-;-;2;1;-;1;2;-;1;1;2;-;1;-;-;1;1;-;17
"2208 MEIO NORTE";-;1;-;-;3;4;1;-;2;1;2;3;1;3;2;-;-;-;1;2;3;2;5;1;2;39
"2209 LITORAL";-;1;-;-;-;-;1;2;-;1;1;-;-;-;1;-;1;2;1;-;-;-;-;-;-;11
"2210 CERRADOS";-;-;1;-;1;-;-;-;1;1;2;-;-;-;-;-;-;4;1;1;-;2;1;-;-;15
"2306 5ª MACRO - LITORAL LESTE/JAGUARIBE";-;1;-;-;-;3;-;1;-;1;-;1;-;-;-;1;2;1;-;2;-;1;-;-;-;14
"2307 4ª MACRO - SERTAO CENTRAL";-;1;-;-;-;1;1;-;-;1;1;1;2;1;1;2;1;-;1;-;-;-;-;2;-;16
"2308 3ª MACRO - CARIRI";-;1;-;1;1;2;-;1;3;-;1;1;2;2;2;2;3;1;1;-;3;3;-;1;-;31
"2309 2ª MACRO - SOBRAL";-;1;1;1;2;3;5;2;-;1;4;2;4;1;6;3;3;1;5;6;3;1;6;2;1;64
"2310 1ª MACRO - FORTALEZA";5;6;17;3;6;10;8;4;5;5;6;11;9;2;9;5;7;7;5;3;8;3;7;4;8;163
"2401 MACRORREGIAO II";-;-;2;-;1;2;-;1;1;1;-;1;-;1;-;-;1;-;-;1;1;2;1;1;1;18
"2402 MACRORREGIAO I";3;1;3;3;2;5;1;3;1;-;6;1;3;3;5;2;1;2;3;2;3;6;3;3;2;67
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO";-;1;-;1;1;-;3;1;-;1;3;1;3;1;3;2;1;-;4;-;-;-;2;1;2;31
"2502 MACRORREGIAO II - CAMPINA GRANDE";2;1;-;1;1;1;3;2;-;1;1;2;-;2;-;1;5;1;-;2;2;-;1;2;-;31
"2503 MACRORREGIAO I - JOAO PESSOA";-;1;1;5;-;6;3;1;2;4;3;5;1;3;-;2;1;4;2;3;2;1;1;1;1;53
"2605 VALE DO S.FRANCISCO E ARARIPE";-;-;2;2;-;3;1;-;2;1;-;1;2;1;1;-;-;1;2;1;3;-;3;2;-;28
"2606 SERTAO";2;-;-;-;2;-;-;-;1;3;2;1;1;3;2;2;-;2;1;1;1;2;2;1;4;33
"2607 METROPOLITANA";4;4;9;5;9;4;9;4;9;6;8;11;13;7;2;6;8;5;7;8;14;5;1;8;3;169
"2608 AGRESTE";-;1;5;1;1;-;2;2;3;3;2;3;1;5;4;5;8;3;2;4;4;1;3;3;1;67
"2703 2ª MACRORREGIAO DE SAUDE";-;-;2;1;1;1;-;-;1;-;1;-;2;2;1;-;1;3;2;1;-;1;-;2;-;22
"2704 1ª MACRORREGIAO DE SAUDE";2;3;5;-;4;2;1;-;5;5;2;3;2;2;5;3;1;2;1;2;5;2;2;5;2;66
"2801 MACRO UNICA";1;5;4;2;4;6;4;3;4;3;3;4;7;2;1;1;3;1;1;3;2;2;1;5;2;74
"2910 SUL (NBS - ILHEUS)";3;3;-;1;3;2;1;3;2;2;2;3;-;1;1;3;-;2;3;2;-;2;3;1;1;44
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)";2;-;2;2;1;1;3;2;3;1;3;1;2;1;2;3;-;3;3;2;1;-;3;3;2;46
"2912 OESTE (NBS - BARREIRAS)";1;1;2;-;-;-;2;1;1;3;-;-;-;1;-;3;2;-;1;-;-;2;-;1;-;21
"2913 NORTE - (NRS - JUAZEIRO)";-;-;-;1;1;1;1;1;1;-;1;-;1;1;-;2;-;-;2;2;1;-;1;1;-;18
"2914 NORDESTE (NRS - ALAGOINHAS)";-;-;2;-;1;-;-;-;-;-;-;-;3;1;1;-;-;1;1;2;1;2;1;1;-;17
"2915 LESTE - (NRS - SALVADOR)";5;7;9;5;6;4;12;2;9;6;4;6;7;7;6;6;5;10;3;11;4;4;7;8;5;158
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)";-;1;-;-;2;2;1;-;-;-;1;-;1;-;1;-;1;4;-;-;1;-;-;1;-;16
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)";2;2;1;3;1;2;3;-;2;2;1;-;2;2;5;5;3;2;2;2;5;2;5;4;3;61
"2918 CENTRO - NORTE (NRS - JACOBINA)";-;1;-;-;-;-;1;1;2;-;-;-;2;-;-;-;4;-;1;3;-;1;2;2;1;21
"3101 SUL";4;2;6;5;2;1;2;5;3;2;6;5;5;6;2;1;2;3;1;2;1;5;4;5;4;84
"3102 CENTRO SUL";1;-;1;-;2;1;1;2;2;1;-;1;2;1;-;1;-;3;1;-;-;-;-;-;1;21
"3103 CENTRO";9;10;10;7;7;12;7;7;10;8;12;5;6;8;13;5;8;4;13;7;6;6;9;7;6;202
"3104 JEQUITINHONHA";-;-;-;-;-;1;-;1;-;-;-;-;1;1;1;1;-;1;-;-;-;-;-;-;-;7
"3105 OESTE";1;3;4;2;1;-;-;4;3;1;2;-;1;1;-;3;4;-;1;2;3;3;-;-;1;40
"3106 LESTE";1;-;-;-;1;1;-;2;1;1;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;10
"3107 SUDESTE";1;2;2;2;2;3;5;5;3;4;1;6;1;3;3;1;1;2;4;3;1;3;4;-;2;64
"3108 NORTE";3;2;1;2;4;2;-;-;4;2;3;3;2;5;3;3;4;3;4;4;1;2;-;3;3;63
"3109 NOROESTE";-;-;-;-;3;-;1;1;-;2;1;3;1;-;2;-;-;1;2;-;-;-;1;-;1;19
"3110 LESTE DO SUL";-;1;2;1;4;1;-;1;1;2;-;-;1;1;-;1;2;3;-;-;1;1;-;-;-;23
"3111 NORDESTE";1;1;1;-;-;1;-;1;1;-;2;-;-;-;1;-;2;-;-;-;1;-;-;-;-;12
"3112 TRIANGULO DO SUL";1;1;-;-;-;-;-;1;-;1;1;-;1;2;1;-;-;1;-;2;1;1;-;2;-;16
"3113 TRIANGULO DO NORTE";-;1;3;2;1;3;1;1;-;1;2;5;1;3;-;2;2;-;1;-;2;1;1;-;4;37
"3114 VALE DO ACO";-;-;-;2;-;-;1;1;-;1;1;1;1;3;1;-;-;2;-;1;1;-;1;2;3;22
"3205 SUL";-;1;-;2;-;-;-;1;-;1;1;-;1;1;-;-;2;2;1;-;-;-;-;2;-;15
"3206 NORTE";-;1;1;1;-;1;-;-;-;-;1;-;-;1;2;-;-;-;-;3;2;-;1;2;-;16
"3207 METROPOLITANA";4;1;1;3;2;1;2;-;5;1;2;3;1;1;3;-;4;1;2;1;5;4;2;2;4;55
"3208 CENTRAL";2;1;-;-;-;-;-;1;-;1;1;1;1;1;1;2;3;-;1;-;2;1;-;-;2;21
"3312 MACRORREGIAO I";24;28;22;18;11;24;15;19;19;30;15;24;21;17;23;20;26;22;15;6;19;20;14;11;21;484
"3518 RRAS9";4;3;5;1;-;7;1;5;2;2;1;1;1;3;1;3;1;3;2;2;-;2;1;2;1;54
"3519 RRAS8";5;1;6;4;3;4;5;2;2;1;2;4;1;3;7;7;3;3;5;4;1;4;1;4;1;83
"3520 RRAS7";2;2;3;6;3;5;6;5;3;3;2;1;2;1;4;2;3;3;3;1;4;6;2;3;4;79
"3521 RRAS6";24;17;10;17;25;12;21;10;22;12;16;15;18;14;7;9;10;16;15;8;12;11;12;11;17;361
"3522 RRAS5";2;2;2;4;2;1;4;4;4;4;3;1;5;2;3;-;1;1;1;5;3;-;1;-;4;59
"3523 RRAS4";1;-;1;1;1;2;2;2;-;1;1;-;3;1;1;-;2;-;-;1;1;-;-;2;-;23
"3524 RRAS3";1;2;1;3;-;-;-;2;1;1;-;1;-;1;1;1;-;-;1;-;-;-;1;-;1;18
"3525 RRAS2";1;4;2;2;3;2;2;3;6;10;3;1;5;4;8;5;2;1;6;1;1;2;3;4;1;82
"3526 RRAS17";3;4;4;2;1;3;5;2;2;3;3;1;1;1;5;3;3;4;3;3;4;2;-;5;3;70
"3527 RRAS16";-;-;3;1;-;3;1;-;1;1;1;1;2;2;-;-;-;1;2;2;1;-;2;-;5;29
"3528 RRAS15";4;5;8;4;6;2;4;4;3;4;4;3;-;3;5;5;2;4;4;5;4;2;2;5;1;93
"3529 RRAS14";3;2;1;-;-;1;3;1;1;2;2;5;-;1;3;1;1;-;1;1;1;4;2;-;1;37
"3530 RRAS13";7;6;5;2;4;8;8;4;4;7;3;4;3;7;5;4;5;2;5;4;7;4;6;5;6;125
"3531 RRAS12";2;1;2;4;4;1;2;2;2;3;1;4;2;2;2;4;-;4;4;2;-;3;5;5;1;62
"3532 RRAS11";-;-;2;1;1;-;-;3;-;1;-;3;1;1;-;3;2;-;-;-;-;-;-;-;-;18
"3533 RRAS10";1;1;-;2;-;1;2;-;1;1;-;3;3;3;1;1;3;1;-;-;1;-;1;1;2;29
"3534 RRAS1";2;8;3;4;3;4;1;5;2;5;6;4;3;2;7;3;4;3;2;7;-;2;1;1;1;83
"4105 MACRORREGIONAL NORTE";4;4;6;2;1;4;2;-;1;1;3;3;1;7;2;6;6;7;4;5;2;2;-;4;1;78
"4106 MACRORREGIONAL NOROESTE";3;3;3;3;3;2;6;3;2;1;-;4;-;-;1;3;-;1;4;-;2;1;-;4;1;50
"4107 MACRORREGIONAL LESTE";4;6;8;7;5;4;8;7;5;2;9;7;8;7;10;6;10;7;9;5;4;4;6;7;3;158
"4108 MACRORREGIAO OESTE";3;2;1;-;3;4;4;4;3;2;8;4;4;2;4;3;3;3;2;5;2;3;2;2;2;75
"4210 SUL";1;-;3;4;6;1;-;1;-;1;1;2;1;1;-;1;1;1;1;-;-;-;-;1;1;28
"4211 PLANALTO NORTE E NORDESTE";3;-;3;-;1;1;2;3;1;-;1;3;-;3;-;2;-;1;2;2;-;-;-;-;-;28
"4212 MEIO OESTE E SERRA CATARINENSE";-;3;-;2;1;1;1;1;-;-;1;3;3;-;1;-;-;1;1;1;1;1;2;-;2;26
"4213 GRANDE OESTE";1;-;-;2;-;2;-;-;2;1;2;1;-;2;-;1;1;-;1;-;1;-;5;2;1;25
"4214 GRANDE FLORIANOPOLIS";3;1;1;2;3;3;3;2;5;-;-;4;1;1;-;-;2;-;1;-;-;2;-;1;1;36
"4215 FOZ DO RIO ITAJAI";-;-;1;2;-;-;-;1;1;1;3;-;1;-;1;-;2;2;-;-;-;2;-;-;-;17
"4216 ALTO VALE DO ITAJAI";-;2;-;1;3;1;-;1;1;1;1;3;-;2;1;-;-;1;1;2;-;2;1;1;-;25
"4308 VALES";1;-;3;2;-;2;1;2;2;3;2;1;1;4;3;1;1;1;2;1;1;1;-;1;1;37
"4309 SUL";1;1;1;1;1;1;1;3;2;2;3;2;4;3;4;2;-;2;3;2;1;1;1;-;1;43
"4310 SERRA";1;2;1;1;-;1;-;-;1;1;2;-;1;-;1;2;3;1;1;1;2;-;-;1;-;23
"4310 SERRA";5;-;1;1;1;2;1;1;2;4;2;1;4;3;1;-;3;-;3;1;1;1;1;-;1;40
"4312 MISSIONEIRA";1;-;1;1;1;-;2;2;1;4;2;1;-;1;-;1;1;1;1;1;3;2;2;2;-;31
"4313 METROPOLITANA";7;8;4;11;8;11;4;9;9;8;8;6;7;5;4;6;9;11;4;6;5;3;7;8;4;172
"4314 CENTRO-OESTE";-;4;3;3;-;1;2;1;-;2;2;5;-;1;2;-;2;1;1;1;2;1;3;1;-;38
"5005 TRES LAGOAS";-;-;1;-;-;-;-;-;-;2;1;1;-;-;-;1;-;-;1;1;-;-;-;1;1;10
"5006 DOURADOS";1;-;-;1;-;2;-;2;1;1;4;1;1;3;1;2;-;1;-;-;3;1;-;-;1;26
"5007 CORUMBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5008 CAMPO GRANDE";2;-;1;1;1;1;2;3;1;2;1;2;3;4;-;1;1;1;3;2;1;1;2;2;1;39
"5101 MACRORREGIAO SUL";1;-;-;3;-;-;-;-;1;-;1;1;1;1;-;-;-;-;-;2;-;-;1;-;-;12
"5102 MACRORREGIAO OESTE";-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;2;2;-;1;8
"5103 MACRORREGIAO NORTE";1;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;1;-;1;1;-;1;-;3;12
"5104 MACRORREGIAO LESTE";-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;4
"5105 MACRORREGIAO CENTRO-NORTE";3;4;1;4;-;1;1;1;2;3;1;1;4;2;-;1;2;1;2;1;3;4;-;2;3;47
"5206 MACRORREGIAO SUDOESTE";-;2;-;-;-;1;2;1;-;1;2;-;-;-;1;-;-;1;1;2;-;-;2;-;-;16
"5207 MACRORREGIAO NORDESTE";1;-;2;-;1;1;1;5;2;3;-;1;1;-;4;3;3;1;2;4;2;2;-;-;1;40
"5208 MACRORREGIAO CENTRO-OESTE";4;3;5;6;1;3;4;5;2;3;4;5;3;3;1;4;9;5;1;6;2;2;1;2;2;86
"5209 MACRORREGIAO CENTRO-NORTE";-;2;-;2;1;1;1;1;4;-;-;2;1;1;-;2;1;-;1;1;1;1;3;1;-;27
"5210 MACRORREGIAO CENTRO SUDESTE";1;-;3;1;1;2;1;1;1;3;1;2;1;1;5;1;1;4;2;1;3;3;2;-;3;44
"5302 MACRORREGIÃO DE BRASÍLIA";3;2;5;3;2;4;3;2;6;5;5;5;2;3;6;1;2;1;1;2;3;5;8;5;3;87
"5303 MACRORREGIÃO DE SAÚDE I";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5304 MACRORREGIÃO DE SAÚDE II";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5305 MACRORREGIÃO DE SAÚDE III";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";215;219;255;227;207;252;235;227;264;251;254;275;254;251;253;223;255;247;245;232;232;218;220;222;204;5937
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
