 Mortalidade - Brasil
Óbitos p/Residênc por Macrorregião de Saúde e Ano do Óbito
Categoria CID-10: C47   Neopl malig nervos perif e sist nerv autonom, C48   Neopl malig tec moles retro- e peritonio, C49   Neopl malig tec conjuntivo e outr tec moles, C50   Neopl malig da mama, C51   Neopl malig da vulva, C52   Neopl malig da vagina, C53   Neopl malig do colo do utero, C54   Neopl malig do corpo do utero, C55   Neopl malig do utero porcao NE, C56   Neopl malig do ovario, C57   Neopl malig outr org genitais femin e NE, C58   Neopl malig da placenta, C60   Neopl malig do penis, C61   Neopl malig da prostata, C62   Neopl malig dos testiculos, C63   Neopl malig outr org genit masc e NE, C64   Neopl malig do rim exceto pelve renal, C65   Neopl malig da pelve renal, C66   Neopl malig dos ureteres, C67   Neopl malig da bexiga, C68   Neopl malig de outr orgaos urinarios e NE, C69   Neopl malig do olho e anexos, C70   Neopl malig das meninges, C71   Neopl malig do encefalo, C72   Neop mal med esp nerv cran out sist nerv cen, C73   Neopl malig da gland tireoide, C74   Neopl malig da gland supra-renal, C75   Neopl malig outr gland endocrinas estr relac, C76   Neopl malig outr localiz e mal definidas, C77   Neopl malig secund e NE gangl linfaticos, C78   Neopl malig secund org respirat e digestivos, C79   Neopl malig secund de outr localiz, C80   Neopl malig s/especificacao de localiz
Faixa Etária: 5 a 9 anos
Período:1996-2020
"Macrorregião de Saúde";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"1601 MACRO UNICA - AP";3;1;1;2;-;1;-;-;-;2;1;-;1;1;1;-;2;2;-;-;1;3;1;1;-;24
"1701 MACRORREGIAO NORTE";-;-;-;-;2;1;1;-;-;1;1;1;-;1;1;-;1;2;1;1;1;2;1;3;3;24
"1702 MACRORREGIAO CENTRO-SUL";-;-;-;-;-;-;1;-;-;2;-;-;1;3;1;1;1;1;4;-;2;-;-;-;1;18
"2109 MACRORREGIAO SUL";-;1;-;-;-;-;2;1;2;3;6;2;3;2;5;5;1;4;2;1;3;4;2;2;1;52
"2110 MACRORREGIAO NORTE";3;2;7;4;5;6;5;8;6;5;5;10;3;5;6;3;6;3;8;8;8;9;2;4;3;134
"2111 MACRORREGIAO LESTE";-;-;-;-;1;2;2;-;-;2;3;4;1;3;3;3;2;4;3;3;2;3;2;2;2;47
"2207 SEMI-ARIDO";-;-;-;-;1;2;-;1;-;-;2;-;1;2;-;1;-;1;-;1;3;3;1;2;2;23
"2208 MEIO NORTE";2;1;6;2;4;2;-;1;1;2;2;2;1;5;2;2;4;1;4;4;2;1;-;3;4;58
"2209 LITORAL";-;-;-;1;-;-;1;1;3;-;1;1;-;-;2;-;-;2;-;4;-;2;2;2;2;24
"2210 CERRADOS";-;1;-;-;-;-;-;-;-;-;-;2;3;1;-;-;-;1;-;-;1;-;1;-;-;10
"2306 5ª MACRO - LITORAL LESTE/JAGUARIBE";1;1;1;-;1;-;-;1;1;-;2;2;-;-;1;-;-;-;3;-;2;-;-;1;-;17
"2307 4ª MACRO - SERTAO CENTRAL";-;-;-;1;-;1;-;1;1;-;1;2;-;1;2;2;1;-;1;3;1;1;-;3;-;22
"2308 3ª MACRO - CARIRI";4;1;-;2;4;2;3;1;4;3;1;1;2;3;1;1;2;3;4;4;4;3;4;2;2;61
"2309 2ª MACRO - SOBRAL";-;2;-;2;5;-;2;2;2;7;3;3;4;6;4;1;5;5;2;1;2;1;2;2;-;63
"2310 1ª MACRO - FORTALEZA";11;9;9;8;4;10;12;4;4;10;9;7;8;5;9;8;6;3;10;11;9;7;7;5;9;194
"2401 MACRORREGIAO II";1;-;1;-;1;1;-;1;-;3;2;1;2;-;-;-;-;-;2;2;2;1;-;1;-;21
"2402 MACRORREGIAO I";6;4;3;4;1;4;10;4;4;4;4;3;3;7;4;4;3;3;4;5;4;-;6;6;3;103
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO";-;1;1;-;1;-;1;3;-;3;-;1;3;1;2;4;-;-;-;2;-;2;1;-;3;29
"2502 MACRORREGIAO II - CAMPINA GRANDE";-;1;-;1;-;-;4;2;1;3;1;2;1;2;2;-;2;3;-;1;2;1;5;1;-;35
"2503 MACRORREGIAO I - JOAO PESSOA";2;1;2;1;8;4;4;1;3;3;1;3;3;3;5;4;3;2;5;4;2;1;1;2;2;70
"2605 VALE DO S.FRANCISCO E ARARIPE";2;-;-;1;-;1;2;-;-;1;2;1;2;-;2;1;2;4;4;3;2;4;1;3;2;40
"2606 SERTAO";-;-;-;-;-;-;2;-;-;1;1;2;4;2;1;4;2;-;-;1;1;1;1;3;2;28
"2607 METROPOLITANA";9;4;9;13;11;12;12;10;8;10;13;12;9;11;9;11;9;9;7;14;14;10;6;10;7;249
"2608 AGRESTE";3;2;1;3;2;-;1;1;5;1;6;5;3;5;2;1;4;5;4;2;1;3;3;2;1;66
"2703 2ª MACRORREGIAO DE SAUDE";-;1;-;-;1;1;-;4;1;-;3;2;1;1;-;-;1;3;4;2;1;2;2;2;-;32
"2704 1ª MACRORREGIAO DE SAUDE";1;2;1;2;5;3;5;5;2;5;3;7;6;4;4;3;3;1;9;4;3;8;4;7;1;98
"2801 MACRO UNICA";2;3;1;5;1;3;5;7;5;6;3;3;7;3;3;5;4;4;2;4;3;4;5;4;3;95
"2910 SUL (NBS - ILHEUS)";1;2;1;3;1;2;4;6;4;3;2;1;3;-;3;-;3;3;1;1;1;2;5;-;4;56
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)";-;-;2;3;3;-;1;-;5;1;2;4;6;2;-;1;4;1;2;4;4;3;2;1;1;52
"2912 OESTE (NBS - BARREIRAS)";2;-;1;-;1;2;1;-;-;1;-;1;-;1;2;1;-;2;1;-;-;-;2;2;2;22
"2913 NORTE - (NRS - JUAZEIRO)";1;-;1;3;1;2;-;-;4;1;1;2;1;-;1;4;-;3;2;-;2;1;2;2;1;35
"2914 NORDESTE (NRS - ALAGOINHAS)";-;1;-;-;-;2;1;1;-;-;1;1;1;1;3;2;1;1;2;-;3;2;3;1;2;29
"2915 LESTE - (NRS - SALVADOR)";4;1;10;5;3;9;8;6;4;11;7;1;11;8;7;7;5;6;7;6;2;7;6;11;4;156
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)";1;1;3;1;1;-;-;1;1;2;2;1;-;2;1;1;1;3;1;-;-;-;-;-;-;23
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)";3;-;-;1;4;5;1;1;7;4;6;3;1;2;2;3;5;-;4;4;4;2;2;3;1;68
"2918 CENTRO - NORTE (NRS - JACOBINA)";-;-;-;-;1;-;-;-;3;-;-;-;1;4;2;-;-;1;1;-;1;2;-;2;1;19
"3101 SUL";2;3;3;3;5;2;1;4;4;4;1;3;4;4;2;3;4;2;9;3;2;2;2;3;3;78
"3102 CENTRO SUL";-;1;1;-;1;2;1;2;-;1;1;2;1;3;-;-;2;-;-;-;2;1;1;1;2;25
"3103 CENTRO";4;7;24;4;7;14;8;11;11;8;10;8;11;14;8;7;6;11;5;8;8;7;10;8;8;227
"3104 JEQUITINHONHA";-;1;-;2;1;2;1;1;-;-;-;-;1;-;-;1;-;1;-;1;-;1;-;-;-;13
"3105 OESTE";2;-;1;1;2;1;-;3;2;2;5;-;-;1;2;1;1;-;1;-;1;-;1;-;4;31
"3106 LESTE";-;-;1;-;-;-;-;1;-;1;-;1;-;1;-;2;3;1;1;-;-;-;-;-;1;13
"3107 SUDESTE";-;1;3;5;5;4;1;5;1;-;2;1;1;2;-;4;1;2;4;3;1;1;3;-;1;51
"3108 NORTE";1;2;-;4;2;2;1;3;1;1;4;4;3;2;1;3;2;1;2;2;4;-;2;1;2;50
"3109 NOROESTE";1;-;2;2;3;-;1;-;-;3;1;-;-;-;1;4;1;1;1;1;-;1;2;-;2;27
"3110 LESTE DO SUL";-;2;1;-;-;-;2;-;2;2;1;1;-;-;1;-;4;1;1;1;1;2;-;-;2;24
"3111 NORDESTE";-;2;-;-;2;-;-;1;5;1;1;1;3;-;1;1;2;1;1;1;-;1;1;2;2;29
"3112 TRIANGULO DO SUL";1;1;-;1;-;1;3;1;2;1;2;1;1;-;-;3;1;1;-;1;1;1;1;3;1;28
"3113 TRIANGULO DO NORTE";4;2;4;2;2;2;-;1;1;1;1;1;4;2;4;3;1;1;1;3;3;1;2;2;-;48
"3114 VALE DO ACO";-;1;1;-;-;-;-;1;1;1;-;4;-;2;-;1;3;-;-;2;1;2;-;1;1;22
"3205 SUL";-;-;1;-;1;1;1;1;-;1;-;1;-;4;4;2;1;1;-;-;2;-;1;-;3;25
"3206 NORTE";-;2;2;1;1;2;1;1;-;-;2;2;-;-;1;-;-;1;1;2;-;-;-;-;-;19
"3207 METROPOLITANA";1;2;4;5;6;4;7;3;4;6;4;6;4;2;3;3;4;5;4;2;1;5;4;4;5;98
"3208 CENTRAL";1;1;-;1;-;3;-;2;-;1;-;3;1;3;1;-;3;1;1;1;1;1;3;1;-;29
"3312 MACRORREGIAO I";26;29;32;27;34;28;28;28;33;24;35;26;18;18;18;32;31;29;24;13;23;19;22;19;14;630
"3518 RRAS9";4;3;3;3;5;1;3;3;3;4;2;2;3;-;2;2;4;2;1;1;3;6;1;1;2;64
"3519 RRAS8";4;5;5;4;1;1;4;2;4;3;4;4;2;4;5;2;5;9;2;3;4;1;5;2;3;88
"3520 RRAS7";-;2;1;4;2;2;2;9;-;2;4;5;4;5;2;1;5;4;2;1;5;2;1;2;2;69
"3521 RRAS6";25;29;19;23;21;24;22;23;17;22;28;26;20;15;21;17;19;12;24;25;7;15;15;20;12;501
"3522 RRAS5";3;6;4;2;3;1;1;1;3;3;2;1;4;1;3;4;2;3;2;2;5;-;2;2;2;62
"3523 RRAS4";1;5;3;1;2;4;3;1;2;2;3;2;5;-;2;3;2;2;1;2;1;1;1;6;2;57
"3524 RRAS3";1;-;2;1;1;1;1;-;-;-;2;-;2;-;1;1;2;2;1;-;1;-;1;1;-;21
"3525 RRAS2";4;8;7;5;2;7;5;4;5;7;10;2;9;3;7;3;5;6;9;2;2;7;6;4;3;132
"3526 RRAS17";3;2;5;4;3;4;2;5;4;9;7;4;5;4;2;1;4;5;5;5;2;2;2;1;2;92
"3527 RRAS16";-;3;4;1;-;-;2;2;2;2;-;5;2;2;-;1;3;-;8;2;2;1;2;4;1;49
"3528 RRAS15";7;5;3;6;8;4;3;3;2;3;5;3;6;3;4;5;4;6;3;5;1;3;5;6;6;109
"3529 RRAS14";4;3;2;-;1;1;1;1;1;2;1;-;2;3;2;-;-;2;-;1;1;1;1;1;2;33
"3530 RRAS13";10;3;9;6;6;4;7;6;10;4;7;2;7;9;9;3;3;3;3;7;6;2;6;5;3;140
"3531 RRAS12";1;6;2;1;3;2;5;4;5;5;-;1;2;3;1;2;-;-;2;5;2;1;1;1;1;56
"3532 RRAS11";3;2;-;4;2;2;2;-;-;1;1;2;2;3;1;2;1;2;1;2;2;1;-;1;3;40
"3533 RRAS10";1;2;4;2;-;2;-;2;2;1;2;-;2;-;2;-;1;2;1;2;1;-;-;1;-;30
"3534 RRAS1";4;5;9;2;2;5;6;2;4;4;5;6;2;3;4;5;4;3;2;3;4;6;3;6;-;99
"4105 MACRORREGIONAL NORTE";1;1;2;6;2;3;3;5;6;1;6;3;2;5;1;4;1;3;-;4;2;2;10;2;3;78
"4106 MACRORREGIONAL NOROESTE";3;6;3;1;2;4;5;4;2;4;5;4;5;2;4;4;-;-;2;4;-;2;4;3;3;76
"4107 MACRORREGIONAL LESTE";10;13;11;8;15;13;11;15;10;12;11;11;9;11;12;6;10;9;8;10;11;5;1;5;6;243
"4108 MACRORREGIAO OESTE";8;3;3;9;3;2;5;5;6;3;2;3;3;7;7;4;2;4;2;-;1;5;2;3;1;93
"4210 SUL";2;-;1;1;4;1;1;1;1;2;1;-;1;2;1;-;3;2;-;-;1;-;2;3;2;32
"4211 PLANALTO NORTE E NORDESTE";2;3;1;2;2;2;7;2;-;3;1;2;1;-;1;-;1;3;1;4;1;2;1;2;1;45
"4212 MEIO OESTE E SERRA CATARINENSE";3;-;2;-;2;1;2;3;-;1;3;-;-;-;-;1;1;2;2;-;1;2;-;1;-;27
"4213 GRANDE OESTE";3;1;1;3;3;2;-;1;1;2;1;2;3;-;-;1;1;2;-;-;1;1;-;5;-;34
"4214 GRANDE FLORIANOPOLIS";-;4;4;2;3;-;4;2;3;1;-;3;2;4;-;1;1;-;-;1;3;2;2;2;2;46
"4215 FOZ DO RIO ITAJAI";1;1;1;1;-;1;-;-;2;-;-;1;1;2;-;-;2;2;2;1;1;-;1;2;1;23
"4216 ALTO VALE DO ITAJAI";1;1;-;4;3;2;-;1;2;1;1;2;-;1;1;3;-;-;-;-;3;-;2;1;-;29
"4308 VALES";1;3;-;1;3;-;4;1;2;-;-;2;2;3;2;1;-;2;1;2;1;2;-;2;-;35
"4309 SUL";2;3;1;1;4;1;2;1;2;2;1;1;1;1;1;1;2;1;2;-;1;-;1;1;2;35
"4310 SERRA";4;2;1;1;4;-;2;1;5;-;2;3;3;-;-;3;-;1;4;2;-;1;3;4;1;47
"4310 SERRA";1;4;1;3;4;5;1;3;5;1;3;2;1;4;-;-;5;1;2;2;1;3;2;1;-;55
"4312 MISSIONEIRA";1;3;1;4;5;3;1;1;3;2;1;2;2;-;-;2;-;1;-;-;3;-;1;1;-;37
"4313 METROPOLITANA";5;10;10;15;6;13;14;6;7;14;11;12;9;2;3;9;7;5;6;8;6;4;7;8;5;202
"4314 CENTRO-OESTE";-;2;4;5;3;1;1;1;1;1;-;4;3;2;1;2;1;-;2;1;1;2;3;1;1;43
"5005 TRES LAGOAS";-;-;-;1;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;7
"5006 DOURADOS";1;-;-;2;1;7;4;1;1;2;1;1;2;-;1;1;1;6;-;3;1;-;-;1;1;38
"5007 CORUMBA";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;1;6
"5008 CAMPO GRANDE";2;1;1;1;1;3;3;1;4;1;4;1;1;1;2;3;4;3;2;1;1;2;1;6;2;52
"5101 MACRORREGIAO SUL";-;1;-;-;-;3;-;-;-;1;-;1;-;1;-;2;-;1;1;1;-;1;1;1;-;15
"5102 MACRORREGIAO OESTE";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;5
"5103 MACRORREGIAO NORTE";-;1;-;2;2;1;-;2;1;-;1;2;2;-;-;-;-;1;1;2;1;1;1;1;-;22
"5104 MACRORREGIAO LESTE";-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;7
"5105 MACRORREGIAO CENTRO-NORTE";4;3;-;1;1;2;1;1;4;5;1;4;5;1;1;-;2;3;1;2;1;1;1;2;4;51
"5206 MACRORREGIAO SUDOESTE";1;1;-;-;-;-;1;3;1;1;1;-;-;2;1;-;1;2;-;2;1;-;-;3;2;23
"5207 MACRORREGIAO NORDESTE";1;-;3;2;6;6;1;1;3;5;2;1;3;2;-;-;2;-;2;3;2;-;2;1;2;50
"5208 MACRORREGIAO CENTRO-OESTE";3;5;3;3;5;4;6;3;4;6;1;6;3;5;3;3;7;3;3;1;4;7;4;6;4;102
"5209 MACRORREGIAO CENTRO-NORTE";-;2;1;2;2;-;2;1;2;1;2;4;1;2;4;1;2;2;2;2;2;1;1;3;2;44
"5210 MACRORREGIAO CENTRO SUDESTE";1;3;-;2;2;3;6;4;1;2;3;3;2;4;2;4;3;3;7;1;1;1;2;1;3;64
"5302 MACRORREGIÃO DE BRASÍLIA";4;3;4;3;2;6;8;2;4;6;3;5;5;8;5;4;3;7;5;4;5;4;3;4;4;111
"5303 MACRORREGIÃO DE SAÚDE I";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5304 MACRORREGIÃO DE SAÚDE II";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5305 MACRORREGIÃO DE SAÚDE III";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";257;284;292;290;312;317;328;301;322;331;339;327;319;300;275;288;300;300;317;298;271;261;278;308;259;7474
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
